year,st,stateno,state,state_fips,state_icpsr,exp_public_welfare,welfare_spending_percap,unemployment,statemin,employed,unemployed,afdc_case,afdc_rep,afdccases_childonly,marginallyfoodinsecure,foodinsecure,verylowfoodsecure,foodstamp_case,foodstamp_rep,nslp_free,nslp_reduced,nslp_total,sbp_free,sbp_reduced,sbp_total,povrate,ssirecipients_aged,ssirecipients_blind,ssirecipients_disabled,ssirecipients_total,ssistate,ssitotal,stateeitcrate,wicparticipation,workerscompensation,apwpi,apwpia,apwspt,ig_welf,policypriorityscore,pro_welfare,anti_welfare,neutral_welfare,lowincchildren_number,mothersaid,adc,aidperm,blind,oldagea,timelim,afdc_up,medicaid_stateadoption,x_chip_children,x_chip_infants,x_chip_pregnantwomen,x_chip_pregntwomen_prebba,z_ssi_afdc_families_payments,z_ssi_blind_payments,z_ssi_blind_payments_post1965,z_ssi_disabled_payments,z_ssi_disabled_payments_post1965,z_ssi_ga_payments_per_case,z_ssi_ga_payments_per_recipient,z_ssi_old_age_payments,z_ssi_old_age_payments_post1965,z_tanf_initialelig,z_tanf_maxpayment,z_tanf_paymentsperfamily
1970,NM,31,New Mexico,35,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,737.209,NA,480.442,NA,457.043,NA,NA,NA,344.605,NA,NA,NA
1970,NY,32,New York,36,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1497.8,NA,663.762,NA,666.589,NA,355.394,NA,551.979,NA,NA,NA
1970,NC,33,North Carolina,37,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,801.012,NA,572.255,NA,523.069,NA,82.4292,NA,443.015,NA,NA,NA
1970,ND,34,North Dakota,38,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,1175.96,NA,582.453,NA,526.182,NA,71.7399,NA,475.244,NA,NA,NA
1970,OH,35,Ohio,39,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,940.909,NA,430.484,NA,433.637,NA,237.884,NA,346.795,NA,NA,NA
1970,OK,36,Oklahoma,40,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1087.51,NA,683.282,NA,621.575,NA,59.4578,NA,444.166,NA,NA,NA
1970,OR,37,Oregon,41,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,970.909,NA,605.585,NA,440.989,NA,138.934,NA,344.827,NA,NA,NA
1970,PA,38,Pennsylvania,42,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1331.05,NA,663.149,NA,531.015,NA,472.655,NA,557.717,NA,NA,NA
1970,RI,39,Rhode Island,44,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1016.22,NA,385.631,NA,435.634,NA,205.906,NA,261.569,NA,NA,NA
1970,SC,40,South Carolina,45,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,1,1,1,0,0,1,NA,NA,NA,NA,514.703,NA,441.267,NA,370.479,NA,214.679,NA,321.523,NA,NA,NA
1970,SD,41,South Dakota,46,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,1027.59,NA,508.454,NA,384.572,NA,57.9012,NA,357.641,NA,NA,NA
1970,TN,42,Tennessee,47,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,727.083,NA,476.454,NA,459.258,NA,74.5198,NA,339.891,NA,NA,NA
1970,TX,43,Texas,48,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,826.357,NA,551.254,NA,462.511,NA,0,NA,436.061,NA,NA,NA
1970,UT,44,Utah,49,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,913.657,NA,528.153,NA,413.973,NA,343.124,NA,299.501,NA,NA,NA
1970,VT,45,Vermont,50,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,963.409,NA,468.028,NA,484.549,NA,0,NA,353.794,NA,NA,NA
1970,VA,46,Virginia,51,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,1127.88,NA,547.648,NA,517.884,NA,284.789,NA,432.04,NA,NA,NA
1970,WA,47,Washington,53,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1208.32,NA,562.996,NA,565.339,NA,408.121,NA,395.532,NA,NA,NA
1970,WV,48,West Virginia,54,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,728.436,NA,459.318,NA,415.589,NA,90.0496,NA,453.487,NA,NA,NA
1970,WI,49,Wisconsin,55,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,1262.44,NA,495.388,NA,522.344,NA,210.698,NA,582.858,NA,NA,NA
1970,WY,50,Wyoming,56,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,777.978,NA,NA,NA,353.18,NA,145.96,NA,316.157,NA,NA,NA
1971,AL,1,Alabama,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,1,1,1,1,0,0,1,NA,NA,NA,NA,377.186,NA,448.324,NA,337.314,NA,79.9322,NA,430.291,NA,NA,NA
1971,AK,2,Alaska,2,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,987.296,NA,770.233,NA,776.908,NA,163.055,NA,585.791,NA,NA,NA
1971,AZ,3,Arizona,4,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,0,1,1,0,0,0,NA,NA,NA,NA,668.256,NA,442.664,NA,438.629,NA,173.993,NA,397.176,NA,NA,NA
1971,AR,4,Arkansas,5,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,612.78,NA,528.018,NA,479.581,NA,32.9223,NA,415.817,NA,NA,NA
1971,CA,5,California,6,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1173.79,NA,866.258,NA,761.132,NA,425.337,NA,606.432,NA,NA,NA
1971,CO,6,Colorado,8,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,971.693,NA,484.569,NA,439.883,NA,481.623,NA,412.165,NA,NA,NA
1971,CT,7,Connecticut,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,1057.26,NA,425.349,NA,565.008,NA,227.121,NA,443.156,NA,NA,NA
